State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity,Arrival Unit,Modal Price,Price Unit
Maharashtra,Pune,Vegetables,Tomato,08-05-2021,67.0,Metric Tonnes,1000.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,09-05-2021,2272.0,Metric Tonnes,1011.99,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,09-05-2021,127.0,Metric Tonnes,901.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,10-05-2021,1473.0,Metric Tonnes,846.84,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,10-05-2021,409.0,Metric Tonnes,852.32,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,11-05-2021,2489.0,Metric Tonnes,817.66,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,11-05-2021,357.0,Metric Tonnes,803.5,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,12-05-2021,731.0,Metric Tonnes,893.74,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,12-05-2021,288.0,Metric Tonnes,872.05,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,13-05-2021,2094.0,Metric Tonnes,1060.39,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,13-05-2021,325.0,Metric Tonnes,845.38,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,14-05-2021,2032.0,Metric Tonnes,778.42,Rs./Quintal
